id,name,genre,artists,album,popularity,duration_ms,explicit,track_name_raw,artist_name_raw,track_name_norm,artist_name_norm,track_artist_key
0JJmId5ZF7aOykoQz4AFNe,Forró,forro,PPJ,Trindade,11,187054,False,Forró,PPJ,forró,ppj,forró | ppj
34jFy6TOKwOcTUKr3neqZc,Forró com Rave,forro,"Eric Land, Dj Guuga",Forró com Rave,43,161812,True,Forró com Rave,"Eric Land, Dj Guuga",forró com rave,eric land dj guuga,forró com rave | eric land dj guuga
4eI7LwmrZoM63PlAFqDAoC,Forro,forro,The Little Ones,The Dawn Sang Along,2,172573,False,Forro,The Little Ones,forro,the little ones,forro | the little ones
2TCWiwkxBu2XspOskIN3Va,Forró em Goiânia,forro,"Zé Piatá, Banda Xerém Com Coentro",Forró na Fazendinha Forró Alegre,20,132200,False,Forró em Goiânia,"Zé Piatá, Banda Xerém Com Coentro",forró em goiânia,zé piatá banda xerém com coentro,forró em goiânia | zé piatá banda xerém com coentro
1jMYdxJadywI1MAR3UYkWq,Forro,forro,Cafe Accordion Orchestra,On Holiday,1,197653,False,Forro,Cafe Accordion Orchestra,forro,cafe accordion orchestra,forro | cafe accordion orchestra
6zPWN8QutfKOXIa8GOmQV0,Forró pela Manhã,forro,Hermeto Pascoal,E Sua Visão Original do Forró,27,121386,False,Forró pela Manhã,Hermeto Pascoal,forró pela manhã,hermeto pascoal,forró pela manhã | hermeto pascoal
2B0ehtDckuImwwjsjFdizZ,Forró,forro,Sivuca,BRASIL,0,262893,False,Forró,Sivuca,forró,sivuca,forró | sivuca
5FBB9Q3tM3pplsFYUkYfRe,Forrô No Escuro,forro,Luiz Gonzaga,O Reino do Baião,18,179560,False,Forrô No Escuro,Luiz Gonzaga,forrô no escuro,luiz gonzaga,forrô no escuro | luiz gonzaga
4ox7F5qVAZUcwcPFSN5NtZ,Forró,forro,Alejandro Magaña Martinez,Recollections Vol. 2,0,179660,False,Forró,Alejandro Magaña Martinez,forró,alejandro magaña martinez,forró | alejandro magaña martinez
1Kpp4pAjPkRmnvh7btsXGK,Forrologia / Olha pro céu,forro,Alcymar Monteiro,Sucessos de Alcymar Monteiro,18,214800,False,Forrologia / Olha pro céu,Alcymar Monteiro,forrologia olha pro céu,alcymar monteiro,forrologia olha pro céu | alcymar monteiro
79PH2I8VSTwRCh675LRN0w,Forro,forro,PMW Studio Musicians,Os Mais Populares Viras de Sempre!,1,207046,False,Forro,PMW Studio Musicians,forro,pmw studio musicians,forro | pmw studio musicians
5O0DHdWq812TdW8iqTPU77,Forrozin Pode Dá Tapa na Cara,forro,Dj Mandrake Nordestino,Forrozinho Marca Zam,18,154800,True,Forrozin Pode Dá Tapa na Cara,Dj Mandrake Nordestino,forrozin pode dá tapa na cara,dj mandrake nordestino,forrozin pode dá tapa na cara | dj mandrake nordestino
6xOzfK93rzjUQiYpeiOKE0,Forró,forro,Brasil Guitar Duo,Brasil Guitar Duo Plays Gismonti,0,573855,False,Forró,Brasil Guitar Duo,forró,brasil guitar duo,forró | brasil guitar duo
6MJEhqo9zDR6p0oQJhm5f5,Forróvérű lány,forro,"Rubay, GL",Forróvérű lány,18,222981,True,Forróvérű lány,"Rubay, GL",forróvérű lány,rubay gl,forróvérű lány | rubay gl
3xaDruDcxEZNLq41InkSPR,Forró,forro,"Quinteto Violado, As Januárias",Forró,11,156170,False,Forró,"Quinteto Violado, As Januárias",forró,quinteto violado as januárias,forró | quinteto violado as januárias
2kmp4ekXn7lzHAnP76ssjy,Forró Do Xenhenhém / Numa Sala De Reboco - Ao Vivo,forro,Juliette,São Juão (Ao Vivo),41,149503,False,Forró Do Xenhenhém / Numa Sala De Reboco - Ao Vivo,Juliette,forró do xenhenhém numa sala de reboco ao vivo,juliette,forró do xenhenhém numa sala de reboco ao vivo | juliette
4of7BEPOmmKPifnUzKaapq,Forró,forro,Baiano E Os Novos Caetanos,"Baiano & Os Novos Caetanos, Vol. 2",7,175173,False,Forró,Baiano E Os Novos Caetanos,forró,baiano e os novos caetanos,forró | baiano e os novos caetanos
